anomaly,Timestamp,IR Value
0.0,158,106756.00
0.0,279,106094.00
0.0,400,105608.00
0.0,521,106245.00
0.0,642,106434.00
0.0,761,108055.00
0.01,882,109032.00
0.01,1003,107248.00
0.01,1124,108884.00
0.01,1245,108718.00
0.01,1366,109459.00
0.01,1485,109825.00
0.01,1606,108589.00
0.01,1727,109475.00
0.01,1848,109475.00
0.01,1969,109738.00
0.01,2088,109883.00
0.01,2209,108865.00
0.01,2330,109059.00
0.01,2451,109407.00
0.01,2572,109532.00
0.01,2691,109842.00
0.01,2811,109692.00
0.01,2933,108593.00
0.02,3054,109449.00
0.02,3175,109350.00
0.02,3294,109704.00
0.02,3415,109825.00
0.02,3535,108288.00
0.02,3657,109261.00
0.02,3778,109366.00
0.02,3897,109590.00
0.02,4018,109671.00
0.02,4139,109198.00
0.02,4259,108661.00
0.02,4381,109212.00
0.02,4500,109231.00
0.02,4621,109456.00
0.02,4742,109574.00
0.02,4862,108177.00
0.02,4983,108904.00
0.02,5103,108961.00
0.02,5224,109252.00
0.02,5345,109418.00
0.02,5466,109550.00
0.02,5586,107972.00
0.02,5706,108858.00
0.02,5827,108892.00
0.03,5948,109242.00
0.03,6069,109265.00
0.03,6190,109381.00
0.03,6310,107984.00
0.03,6430,108647.00
0.03,6551,108795.00
0.03,6672,109023.00
0.03,6793,109279.00
0.03,6914,109357.00
0.03,7033,108197.00
0.03,7154,108423.00
0.03,7275,108862.00
0.03,7396,108893.00
0.03,7517,109179.00
0.03,7636,109319.00
0.03,7757,109462.00
0.03,7878,108044.00
0.03,7999,109183.00
0.03,8120,109086.00
0.03,8240,109428.00
0.03,8360,109578.00
0.03,8481,109782.00
0.04,8602,108870.00
0.04,8723,109338.00
0.04,8843,109558.00
0.04,8964,109699.00
0.04,9084,109892.00
0.04,9205,109976.00
0.04,9326,109605.00
0.04,9446,109320.00
0.04,9567,109740.00
0.04,9688,109625.00
0.04,9808,109900.00
0.04,9929,110017.00
0.04,10049,109572.00
0.04,10170,109357.00
0.04,10291,109693.00
0.04,10412,109662.00
0.09,10532,109943.00
0.21,10652,110037.00
0.33,10773,108971.00
0.46,10894,109354.00
0.58,11016,109539.00
0.7,11134,109655.00
0.82,11255,109866.00
0.94,11377,110004.00
1.06,11498,109127.00
1.18,11617,109852.00
1.3,11739,109845.00
1.42,11859,110126.00
1.54,11980,110299.00
1.66,12101,109846.00
1.78,12221,109898.00
1.9,12342,110133.00
2.02,12463,110109.00
2.14,12583,110195.00
2.26,12703,110280.00
2.38,12824,109413.00
2.51,12945,110029.00
2.63,13066,109935.00
2.75,13186,110137.00
2.87,13306,110215.00
2.99,13427,109747.00
3.11,13548,109761.00
3.23,13669,110012.00
3.35,13789,110036.00
3.47,13910,110192.00
3.59,14030,110279.00
3.71,14151,109431.00
3.83,14271,110009.00
3.95,14392,109954.00
4.07,14513,110176.00
4.19,14635,110250.00
4.31,14753,110140.00
4.44,14874,109585.00
4.56,14996,110015.00
4.68,15117,109899.00
4.8,15238,110093.00
4.92,15357,110176.00
5.04,15478,109847.00
5.16,15599,109573.00
5.28,15720,109957.00
5.4,15840,109968.00
5.52,15961,110152.00
5.64,16081,110212.00
5.76,16202,109665.00
5.88,16322,109683.00
6.0,16443,109922.00
6.12,16564,109967.00
6.25,16685,110143.00
6.37,16805,110199.00
6.49,16925,109535.00
6.61,17046,109689.00
6.73,17167,109806.00
6.85,17288,109939.00
6.97,17408,110101.00
7.09,17528,110195.00
7.21,17649,109333.00
7.33,17770,109818.00
7.45,17892,109743.00
7.57,18011,109970.00
7.69,18131,110110.00
7.81,18253,110060.00
7.93,18374,109233.00
8.05,18493,109758.00
8.17,18615,109660.00
8.3,18736,109900.00
8.42,18856,109999.00
8.54,18977,109770.00
