Timestamp,IR Value
0.0,158,107520.00
0.0,279,108069.00
0.0,400,108505.00
0.0,521,108625.00
0.0,642,106033.00
0.0,762,107594.00
0.0,883,107352.00
0.0,1003,108070.00
0.0,1124,108495.00
0.0,1245,107273.00
0.0,1366,106314.00
0.0,1486,107538.00
0.0,1607,107093.00
0.0,1727,107716.00
0.0,1848,108735.00
0.0,1969,107517.00
0.0,2089,107758.00
0.0,2210,109145.00
0.0,2330,109222.00
0.0,2451,109570.00
0.0,2572,111324.00
0.01,2693,108802.00
0.01,2813,109987.00
0.01,2934,108928.00
0.01,3055,109805.00
0.01,3175,110339.00
0.01,3296,109997.00
0.01,3417,110339.00
0.01,3537,108512.00
0.01,3658,110298.00
0.01,3778,109378.00
0.01,3899,110541.00
0.01,4020,110635.00
0.01,4141,108177.00
0.01,4261,110089.00
0.01,4382,109411.00
0.01,4502,111037.00
0.01,4623,110403.00
0.01,4744,111376.00
0.01,4865,108095.00
0.01,4985,108793.00
0.01,5106,109502.00
0.01,5226,109214.00
0.01,5347,108893.00
0.01,5468,110236.00
0.01,5588,106557.00
0.01,5709,108804.00
0.01,5830,108265.00
0.01,5950,108868.00
0.01,6071,109805.00
0.01,6192,107165.00
0.01,6312,107862.00
0.01,6433,108246.00
0.01,6553,109119.00
0.01,6674,108905.00
0.01,6795,109437.00
0.01,6916,106909.00
0.01,7036,108978.00
0.01,7157,108643.00
0.01,7277,110078.00
0.01,7398,110553.00
0.01,7519,107715.00
0.01,7640,108597.00
0.01,7760,109627.00
0.01,7881,109640.00
0.01,8001,110197.00
0.01,8122,108142.00
0.01,8243,108050.00
0.01,8364,108485.00
0.01,8484,108699.00
0.02,8605,107989.00
0.02,8725,108855.00
0.02,8846,106417.00
0.02,8967,108788.00
0.02,9088,108950.00
0.02,9208,110167.00
0.02,9329,110675.00
0.02,9449,109142.00
0.02,9570,109338.00
0.02,9691,110103.00
0.02,9811,109382.00
0.02,9932,109914.00
0.02,10053,109223.00
0.02,10173,105913.00
0.02,10294,106514.00
0.02,10415,110303.00
0.09,10535,112116.00
0.21,10655,113046.00
0.33,10776,113122.00
0.45,10897,112785.00
0.57,11018,112091.00
0.7,11139,108895.00
0.82,11258,107415.00
0.94,11379,110519.00
1.06,11500,105903.00
1.18,11621,108471.00
1.3,11742,109543.00
1.42,11862,105615.00
1.54,11982,109693.00
1.66,12103,109119.00
1.78,12225,104402.00
1.9,12346,108200.00
2.02,12465,105190.00
2.14,12587,105650.00
2.26,12707,109504.00
2.38,12828,107957.00
2.5,12948,105950.00
2.63,13069,107780.00
2.75,13190,106976.00
2.87,13310,109601.00
2.99,13431,108163.00
3.11,13551,109694.00
3.23,13672,106013.00
3.35,13793,105577.00
3.47,13914,109172.00
3.59,14034,105989.00
3.71,14154,108935.00
3.83,14275,108271.00
3.95,14396,104515.00
4.07,14517,103554.00
4.19,14637,103880.00
4.31,14757,105711.00
4.44,14878,108291.00
4.56,14999,106934.00
4.68,15121,107742.00
4.8,15240,107947.00
4.92,15361,107406.00
5.04,15482,107827.00
5.16,15603,107955.00
5.28,15724,105608.00
5.4,15844,108043.00
5.52,15965,109000.00
5.64,16086,110501.00
5.76,16206,110790.00
5.88,16327,108353.00
6.0,16447,108803.00
6.12,16568,109322.00
6.25,16689,108852.00
6.37,16809,109099.00
6.49,16930,109210.00
6.61,17050,105506.00
6.73,17171,106724.00
6.85,17292,106705.00
6.97,17413,106941.00
7.09,17532,107341.00
7.21,17653,106544.00
7.33,17774,105235.00
7.45,17895,106402.00
7.57,18017,106250.00
7.69,18136,106951.00
7.81,18256,107335.00
7.93,18378,104816.00
8.06,18499,105231.00
8.18,18618,105251.00
8.3,18740,105718.00
8.42,18861,106493.00
8.54,18981,106084.00
8.66,19102,103352.00
8.78,19222,104601.00
8.9,19343,104307.00
9.02,19464,105223.00
9.14,19585,105219.00
9.26,19705,103595.00
9.38,19825,103892.00
9.5,19946,104543.00
9.62,20067,105157.00
9.74,20188,105802.00
9.87,20308,105429.00
9.99,20428,103766.00
10.11,20549,104779.00
10.23,20670,104661.00
10.35,20791,105384.00
10.47,20911,105842.00
10.59,21031,103716.00
10.71,21152,104251.00
10.83,21274,104483.00
10.95,21395,104958.00
11.07,21514,105774.00
11.19,21636,105673.00
11.31,21756,103298.00
11.43,21877,104882.00
11.55,21998,106600.00
11.68,22118,108291.00
11.8,22239,109081.00
11.92,22360,105336.00
12.04,22480,106601.00
12.16,22601,107656.00
12.28,22721,107736.00
12.4,22842,108244.00
12.52,22963,107040.00
12.64,23084,105160.00
12.76,23203,106045.00
12.88,23324,106309.00
13.0,23445,106914.00
13.12,23566,107093.00
13.24,23687,104876.00
13.36,23806,106056.00
13.48,23927,106331.00
13.61,24049,106782.00
13.73,24170,107358.00
13.85,24291,104927.00
13.97,24411,105072.00
14.09,24531,105264.00
14.21,24652,105563.00
14.33,24773,105876.00
14.45,24894,105464.00
14.57,25014,104428.00
14.69,25135,105353.00
14.81,25255,105462.00
14.93,25376,106072.00
15.05,25496,106210.00
15.17,25617,104259.00
15.29,25738,105809.00
15.42,25859,105861.00
15.54,25979,106631.00
15.66,26099,107043.00
15.78,26220,104883.00
15.9,26341,104838.00
16.02,26462,105310.00
16.14,26583,105806.00
16.26,26702,106222.00
16.38,26823,105495.00
16.5,26944,103958.00
16.62,27066,105057.00
16.74,27187,104672.00
16.86,27305,105390.00
16.98,27427,105856.00
17.1,27548,103627.00
17.23,27669,104673.00
17.35,27790,104844.00
17.47,27910,105093.00
17.59,28030,105873.00
17.71,28151,105065.00
17.83,28272,103526.00
17.95,28393,104368.00
18.07,28513,104364.00
